I 18:04:51.663   [MOTION]       Motion Mode Changed: 0->1
I 18:04:53.665   [MOTION]       Motion-Time Done
I 18:04:53.665   [MOTION]       Motion Mode Changed: 1->0
I 18:04:53.726   [MOTION]       Motion Mode Changed: 0->1
I 18:04:55.729   [MOTION]       Motion-Time Done
I 18:04:55.729   [MOTION]       Motion Mode Changed: 1->0
I 18:04:55.779   [MOTION]       Motion Mode Changed: 0->1
I 18:04:57.781   [MOTION]       Motion-Time Done
I 18:04:57.781   [MOTION]       Motion Mode Changed: 1->0
I 18:04:57.856   [MOTION]       Motion Mode Changed: 0->1
I 18:04:59.859   [MOTION]       Motion-Time Done
I 18:04:59.859   [MOTION]       Motion Mode Changed: 1->0
I 18:08:17.492   [MOTION]       Motion Mode Changed: 0->1
I 18:08:19.495   [MOTION]       Motion-Time Done
I 18:08:19.495   [MOTION]       Motion Mode Changed: 1->0
I 18:08:19.736   [MOTION]       Motion Mode Changed: 0->1
I 18:08:21.739   [MOTION]       Motion-Time Done
I 18:08:21.739   [MOTION]       Motion Mode Changed: 1->0
I 18:08:22.149   [MOTION]       Motion Mode Changed: 0->1
I 18:08:24.151   [MOTION]       Motion-Time Done
